english,engtrans,arabic,hindi,urdu,cue
"and fear of You all over day and night as long as You keep me alive.","wa khashyataka billayli wa alnnahari ma abqaytanee","وَخَشْيَتَكَ بِٱللَّيْلِ وَٱلنَّهَارِ مَا ابْقَيْتَنِي",,,
"O Lord of the worlds!","ya rabba al`alameena","يَا رَبَّ ٱلْعَالَمِينَ",,,
"O Allah, each time I decide to prepare and ready myself","allahumma innee kullama qultu qad tahayya'tu wa ta`abba'tu","اَللَّهُمَّ إِنِّي كُلَّمَا قُلْتُ قَدْ تَهَيَّاتُ وَتَعَبَّاتُ",,,
"for offering prayers before You and conversing confidentially with You,","wa qumtu lil¥¥alati bayna yadayka wa najaytuka","وَقُمْتُ لِلصَّلاَةِ بَيْنَ يَدَيْكَ وَنَاجَيْتُكَ",,,
"You throw on me slumber whenever I stand for prayer;","alqayta `alayya nu`asan idha ana ¥allaytu"," الْقَيْتَ عَلَيَّ نُعَاساً إِذَا انَا صَلَّيْتُ",,,
"thus, You deprive me of conversing with You confidentially whenever I try so.","wa salabtanee munajataka idha ana najaytu","وَسَلَبْتَنِي مُنَاجَاتَكَ إِذَا انَا نَاجَيْتُ",,,
"What is the wrong with me? Whenever I feel that my inner self has become decent","malee kullama qultu qad ¥aluhat sareeratee","مَالِي كُلَّمَا قُلْتُ قَدْ صَلُحَتْ سَرِيرَتِي",,,
"and that my session has become similar to the sessions of those who turn much to You,","wa qaruba min majalisi alttawwabeena majlisee","وَقَرُبَ مِنْ مَجَالِسِ ٱلتَّوَّابِينَ مَجْلِسِي",,,
"a misfortune would inflict me, causing my feet to be shaken, and standing against my showing servitude to You.","`araat lee baliyyatun azalat qadamee wa halat baynee wa bayna khidmatika","عَرَضَتْ لِي بَلِيَّةٌ ازَالَتْ قَدَمِي وَحَالَتْ بَيْنِي وَبَيْنَ خِدْمَتِكَ",,,
"O my Master, perhaps You have pushed me away from Your door","sayyidee la`allaka `an babika taradtanee","سَيِّدِي لَعَلَّكَ عَنْ بَابِكَ طَرَدْتَنِي",,,
"and You have dismissed me from Your service!","wa `an khidmatika nahhaytanee","وَعَنْ خِدْمَتِكَ نَحَّيْتَنِي",,,
"Or, perhaps, You have noticed that I belittled the duties that You have made incumbent upon me, and You thus set me aside!","aw la`allaka ra'aytanee mustakhiffan bihaqqika fa'aq¥aytanee","اوْ لَعَلَّكَ رَايْتَنِي مُسْتَخِفّاً بِحَقِّكَ فَاقْصَيْتَنِي",,,
"Or, perhaps, You have seen me turning away from You and thus You have turned away from me!","aw la`allaka ra'aytanee mu`rian `anka faqalaytanee","اوْ لَعَلَّكَ رَايْتَنِي مُعْرِضاً عَنْكَ فَقَلَيْتَنِي",,,
"Or, perhaps, You have found me in the manner of the liars and thus You have rejected me!","aw la`allaka wajadtanee fee maqami alkadhibeena farafatanee","اوْ لَعَلَّكَ وَجَدْتَنِي فِي مَقَامِ ٱلْكَاذِبِينَ فَرَفَضْتَنِي",,,
"Or, perhaps, You have observed me showing no gratitude for Your graces and thus You have deprived me of them!","aw la`allaka ra'aytanee ghayra shakirin lina`ma'ika faharamtanee","اوْ لَعَلَّكَ رَايْتَنِي غَيْرَ شَاكِرٍ لِنَعْمَائِكَ فَحَرَمْتَنِي",,,
"Or, perhaps, You have not found me in the meetings of the scholars and thus You have let me down!","aw la`allaka faqadtanee min majalisi al`ulama'i fakhadhaltanee","اوْ لَعَلَّكَ فَقَدْتَنِي مِنْ مَجَالِسِ ٱلْعُلَمَاءِ فَخَذَلْتَنِي",,,
"Or, perhaps, You have seen me among the inattentive ones and thus You have made me despair of Your mercy!","aw la`allaka ra'aytanee filghafileena famin rahmatika ayastanee","اوْ لَعَلَّكَ رَايْتَنِي فِي ٱلْغَافِلِينَ فَمِنْ رَحْمَتِكَ آيَسْتَنِي",,,
"Or, perhaps, You have found me fond of the sessions of the wrongdoers and thus You have referred me to them!","aw la`allaka ra'aytanee alafu majalisa albattaleena fabaynee wa baynahum khallaytanee","اوْ لَعَلَّكَ رَايْتَنِي آلِفَ مَجَالِسِ ٱلْبَطَّالِينَ فَبَيْنِي وَبَيْنَهُمْ خَلَّيْتَنِي",,,
"Or, perhaps, You have not willed to hear my prayers and thus You have kept me away from You!","aw la`allaka lam tuhibba an tasma`a du`a'ee faba`adtanee","اوْ لَعَلَّكَ لَمْ تُحِبَّ انْ تَسْمَعَ دُعَائِي فَبَاعَدْتَنِي",,,
"Or, perhaps, You have punished me for my offenses and sins!","aw la`allaka bijurmee wa jareeratee kafaytanee","اوْ لَعَلَّكَ بِجُرْمِي وَجَرِيرَتِي كَافَيْتَنِي",,,
"Or, perhaps, You have penalized me for my shamelessness!","aw la`allaka biqillati haya'ee minka jazaytanee","اوْ لَعَلَّكَ بِقِلَّةِ حَيَائِي مِنْكَ جَازَيْتَنِي",,,
"If You forgive me, O Lord, then You have occasionally forgiven the sinners like me,","fa'in `afawta ya rabbi fatalama `afawta `an almudhnibeena qablee","فَإِنْ عَفَوْتَ يَا رَبِّ فَطَالَمَا عَفَوْتَ عَنِ ٱلْمُذْنِبِينَ قَبْلِي",,,
"because Your compassion, O my Lord, is too great to be compared to the punishment of the negligent.","li'anna karamaka ay rabbi yajillu `an mukafati almuqa¥¥ireena","لاِنَّ كَرَمَكَ ايْ رَبِّ يَجِلُّ عَنْ مُكَافَاةِ ٱلْمُقَصِّرِينَ",,,
"I am now seeking refuge with Your generosity and fleeing for You to You,","wa ana `a'idhun bifalika haribun minka ilayka","وَانَا عَائِذٌ بِفَضْلِكَ هَارِبٌ مِنْكَ إِلَيْكَ",,,
"hoping for the promise that You have taken as regards pardoning those who have good idea about You.","mutanajjizun ma wa`adta min al¥¥afhi `amman ahsana bika ¨annan","مُتَنَجِّزٌ مَا وَعَدْتَ مِنَ ٱلصَّفْحِ عَمَّنْ احْسَنَ بِكَ ظَنّاً",,,
"O my God, You are too expansive in favor","ilahee anta awsa`u falan","إِلٰهِي انْتَ اوْسَعُ فَضْلاً",,,
"and too great in forbearance to punish me for my deed","wa a`¨amu hilman min an tuqayisanee bi`amalee","وَاعْظَمُ حِلْماً مِنْ انْ تُقَايِسَنِي بِعَمَلِي",,,
"or to chastise me for my sin.","aw an tastazillanee bikhatee'atee","اوْ انْ تَسْتَزِلَّنِي بِخَطِيئَتِي",,,
"What am I? O Master! What is my weight?","wa ma ana ya sayyidee wa ma khataree","وَمَا انَا يَا سَيِّدِي وَمَا خَطَرِي",,,
"Excuse me out of Your favor, O my Master,","habnee bifalika sayyidee","هَبْنِي بِفَضْلِكَ سَيِّدِي",,,
"act to me charitably our of Your pardon,","wa ta¥addaq `alayya bi`afwika","وَتَصَدَّقْ عَلَيَّ بِعَفْوِكَ",,,
"cover me with Your covering,","wa jallilnee bisitrika","وَجَلِّلْنِي بِسِتْرِكَ",,,
"and let off chiding me out of the liberality of Your Face.","wa`fu `an tawbeekhee bikarami wajhika","وَٱعْفُ عَنْ تَوْبِيخِي بِكَرَمِ وَجْهِكَ",,,
"O my Master! I am the little that You have brought up,","sayyidee ana al¥¥agheeru alladhee rabbaytahu","سَيِّدِي انَا ٱلصَّغِيرُ ٱلَّذِي رَبَّيْتَهُ",,,
"I am the ignorant that You have taught,","wa ana aljahilu alladhee `allamtahu","وَانَا ٱلْجَاهِلُ ٱلَّذِي عَلَّمْتَهُ",,,
"I am the straying that You have guided,","wa ana alallu alladhee hadaytahu","وَانَا ٱلضَّالُّ ٱلَّذِي هَدَيْتَهُ",,,
"I am the humble that You have given rise,","wa ana alwaee`u alladhee rafa`tahu","وَانَا ٱلْوَضِيعُ ٱلَّذِي رَفَعْتَهُ",,,
"I am the afraid that You have given security,","wa ana alkha'ifu alladhee amantahu","وَانَا ٱلْخَائِفُ ٱلَّذِي آمَنْتَهُ",,,
"I am the hungry that You have satiated,","walja'i`u alladhee ashba`tahu","وَٱلْجَائِعُ ٱلَّذِي اشْبَعْتَهُ",,,
"I am the thirsty that You have watered,","wal`atshanu alladhee arwaytahu","وَٱلْعَطْشَانُ ٱلَّذِي ارْوَيْتَهُ",,,
"I am the naked that You have dressed,","wal`aree alladhee kasawtahu","وَٱلْعَارِي ٱلَّذِي كَسَوْتَهُ",,,
"I am the poor that You have given affluence,","walfaqeeru alladhee aghnaytahu","وَٱلْفَقِيرُ ٱلَّذِي اغْنَيْتَهُ",,,
"I am the weak that You have strengthened,","wala`eefu alladhee qawwaytahu","وَٱلضَّعِيفُ ٱلَّذِي قَوَّيْتَهُ",,,
"I am the lowly that You have given might,","waldhdhaleelu alladhee a`zaztahu","وَٱلذَّلِيلُ ٱلَّذِي اعْزَزْتَهُ",,,
"I am the ill that You have cured,","walssaqeemu alladhee shafaytahu","وَٱلسَّقِيمُ ٱلَّذِي شَفَيْتَهُ",,,
"I am the beggar that You have donated,","walssa'ilu alladhee a`taytahu","وَٱلسَّائِلُ ٱلَّذِي اعْطَيْتَهُ",,,
"I am the sinner that You have covered,","walmudhnibu alladhee satartahu","وَٱلْمُذْنِبُ ٱلَّذِي سَتَرْتَهُ",,,
"I am the guilty that You have excused,","walkhati'u alladhee aqaltahu","وَٱلْخَاطِئُ ٱلَّذِي اقَلْتَهُ",,,
"I am the valueless that You have evaluated,","wa ana alqaleelu alladhee kaththartahu","وَانَا ٱلْقَلِيلُ ٱلَّذِي كَثَّرْتَهُ",,,
"I am the helpless that You have backed,","walmusta`afu alladhee na¥artahu","وَٱلْمُسْتَضْعَفُ ٱلَّذِي نَصَرْتَهُ",,,
"and I am the expelled that You have boarded.","wa ana alttareedu alladhee awaytahu","وَانَا ٱلطَّرِيدُ ٱلَّذِي آوَيْتَهُ",,,
"I am, O my Lord, the one who has not felt ashamed of You in secrets","ana ya rabbi alladhee lam astahyika fee alkhala'i","انَا يَا رَبِّ ٱلَّذِي لَمْ اسْتَحْيِكَ فِي ٱلْخَلاَءِ",,
,"and the one who has not considered Your watching over him in the public.","wa lam uraqibka fee almala'i",,,
‪,,,‬"وَلَمْ ارَاقِبْكَ فِي ٱلْمَلاَءِ","I am the committer of the grave transgressions,","ana ¥ahibu alddawahee al`u¨ma"
"انَا صَاحِبُ ٱلدَّوَاهِي ٱلْعُظْمَىٰ","I am the one who challenged his Master,","ana alladhee `ala sayyidihee ijtara'a"
"انَا ٱلَّذِي عَلَىٰ سَيِّدِهِ ٱجْتَرا","I am the one who disobeyed the All-great of the heavens,","ana alladhee `a¥aytu jabbara alssama'a",,,
"انَا ٱلَّذِي عَصَيْتُ جَبَّارَ ٱلسَّمَاءِ","I am the one who has given bribes violating the laws of the All-lofty Lord,","ana alladhee a`taytu `ala ma`a¥ee aljaleeli alrrisha",,,
"انَا ٱلَّذِي اعْطَيْتُ عَلَىٰ مَعَاصِي ٱلْجَلِيلِ ٱلرِّشَىٰ","I am the one who has been delighted for committing such sins,","ana alladhee heena bushshirtu biha kharajtu ilayha as`a",,,
"انَا ٱلَّذِي حِينَ بُشِّرْتُ بِهَا خَرَجْتُ إِلَيْهَا اسْعَىٰ","I am the one who, although You have respited, has not cared,","ana alladhee amhaltanee fama ir`awaytu",,,
"انَا ٱلَّذِي امْهَلْتَنِي فَمَا ٱرْعَوَيْتُ","I am the one whom, although You have covered him, has not felt ashamed,","wa satarta `alayya fama istahyaytu",,,
"وَسَتَرْتَ عَلَيَّ فَمَا ٱسْتَحْيَيْتُ","who committed so many acts of disobedience that he has violated (all terms),","wa `amiltu bilma`a¥ee fata`addaytu",,,
"وَعَمِلْتُ بِٱلْمَعَاصِي فَتَعَدَّيْتُ","and who, although You have disregarded, has not minded.","wa asqattanee min `aynika fama balaytu",,,
"وَاسْقَطْتَنِي مِنْ عَيْنِكَ فَمَا بَالَيْتُ","So, out of Your forbearance have You given me respite.","fabihilmika amhaltanee",,,
"فَبِحِلْمِكَ امْهَلْتَنِي","You have concealed (my faults) with Your untouchable concealment as if You have been unaware of my acts.","wa bisitrika satartanee hatta ka'annaka aghfaltanee",,,
"وَبِسِتْرِكَ سَتَرْتَنِي حَتَّىٰ كَانَّكَ اغْفَلْتَنِي","You have not applied to me the punishments of committing acts of disobedience (to You) as if You are ashamed to face me.","wa min `uqubati alma`a¥ee jannabtanee hatta ka'annaka istahyaytanee",,,
"وَمِنْ عُقُوبَاتِ ٱلْمَعَاصِي جَنَّبْتَنِي حَتَّىٰ كَانَّكَ ٱسْتَحْيَيْتَنِي","O my God, as I disobeyed You, I have never denied Your Lordship,","ilahee lam a`¥ika heena `a¥aytuka wa ana birububiyyatika jahidun",,,
"إِلٰهِي لَمْ اعْصِكَ حِينَ عَصَيْتُكَ وَانَا بِرُبُوبِيَّتِكَ جَاحِدٌ","have never belittled Your ordains,","wa la bi-amrika mustakhiffun",,,
"وَلاَ بِامْرِكَ مُسْتَخِفٌّ","have never wished for exposing myself to Your chastisement,","wa la li`uqubatika muta`arriun",,,
"وَلاَ لِعُقُوبَتِكَ مُتَعَرِّضٌ","and have never disparaged Your threat.","wa la liwa`eedika mutahawinun",,,
"وَلاَ لِوَعِيدِكَ مُتَهَاوِنٌ","Nevertheless, sins showed themselves desirable before me, my self commended to me,","lakin khatee'atun `araat wa sawwalat lee nafsee",,,
"لَكِنْ خَطِيئَةٌ عَرَضَتْ وَسَوَّلَتْ لِي نَفْسِي","my whim overwhelmed me,","wa ghalabanee hawaya",,,
"وَغَلَبَنِي هَوَايَ","my impudence helped me accordingly,","wa a`ananee `alayha shiqwatee",,,
"وَاعَانَنِي عَلَيْهَا شِقْوَتِي","and I have been deceived by Your covering that You have laid on me.","wa gharranee sitruka almurkha `alayya",,,
"وَغَرَّنِي سِتْرُكَ ٱلْمُرْخَىٰ عَلَيَّ","So, I have exerted efforts in violating Your orders and disobeying You.","faqad `a¥aytuka wa khalaftuka bijuhdee",,,
"فَقَدْ عَصَيْتُكَ وَخَالَفْتُكَ بِجُهْدِي","Now, who can ever save me from Your chastisement?","fal'ana min `adhabika man yastanqidhunee",,,
"فَٱلآنَ مِنْ عَذَابِكَ مَنْ يَسْتَنْقِذُنِي","Tomorrow, who can save me from the hands of my rivals?","wa min aydee alkhu¥ama'i ghadan man yukhalli¥unee",,,
"وَمِنْ ايْدِي ٱلْخُصَمَاءِ غَداً مَنْ يُخَلِّصُنِي","Whose rope will I catch if You cut off the rope between You and me?","wa bihabli man atta¥ilu in anta qata`ta hablaka `annee",,,
"وَبِحَبْلِ مَنْ اتَّصِلُ إِنْ انْتَ قَطَعْتَ حَبْلَكَ عَنِّي","Shame on me for my evildoings that Your Book has recorded.","fa wa saw'ata `ala ma ah¥a kitabuka min `amaliya alladhee",,,
"فَوَاسَوْاتَا عَلَىٰ مَا احْصَىٰ كِتَابُكَ مِنْ عَمَلِي","Had it not been for Your generosity, the breadth of Your mercy,","lawla ma arju min karamika wa sa`ati rahmatika",,,
"ٱلَّذِي لَوْلاَ مَا ارْجُو مِنْ كَرَمِكَ وَسَعَةِ رَحْمَتِكَ","and Your warning me against being desperate—the matters that I hopefully depend on, I would have despaired whenever I remember my sins.","wa nahyika iyyaya `an alqunuti laqanattu `indama atadhakkaruha",,,
"وَنَهْيِكَ إِيَّايَ عَنِ ٱلَّذِي لْقُنُوطِ لَقَنَطْتُ عِنْدَمَا اتَذَكَّرُهَا","O Greatest Besought Who has been ever besought!","ya khayra man da`ahu da`in",,,
"يَا خَيْرَ مَنْ دَعَاهُ دَاعٍ","O Most Favorable Hoped!","wa afala man rajahu rajin",,,
"وَافْضَلَ مَنْ رَجَاهُ رَاجٍ","O Allah! I beseech You in the name of the liability of Islam,","allahumma bidhimmati al-islami atawassalu ilayka",,,
"اَللَّهُمَّ بِذِمَّةِ ٱلإِسْلاَمِ اتَوَسَّلُ إِلَيْكَ","I rely upon You in the name of the sanctity of the Qur’an,","wa bihurmati alqur'ani a`tamidu `alayka",,,
"وَبِحُرْمَةِ ٱلْقُرْآنِ اعْتَمِدُ عَلَيْكَ","in the name of my love for the Prophet; the Ummi (inhabitant of Mecca),","wa bihubbee alnnabiyya al-ummiyya",,,
"وَبِحُبِّي ٱلنَّبِيَّ ٱلامِّيَّ","the Qurayshite, the Hashemite,","alqurashiyya alhashimiyya",,,
"ٱلْقُرَشِيَّ ٱلْهَاشِمِيَّ","the Arab, the Tuhamite,","al`arabiyya alttuhamiyya",,,
"ٱلْعَرَبِيَّ ٱلتُّهَامِيَّ","the Meccan, and the Madanite,","almakkiyya almadaniyya",,,
"ٱلْمَكِّيَّ ٱلْمَدَنِيَّ","I hope for proximity to You.","arju alzzulfata ladayka",,,
"ارْجُو ٱلزُّلْفَةَ لَدَيْكَ","So, do not disturb my familiarity with faith","fala tuhish isti'nasa eemanee",,,
"فَلاَ تُوحِشِ ٱسْتِينَاسَ إِيـمَانِي","and do not make my reward the same as reward given to those who serve one other than You.","wa la taj`al thawabee thawaba man `abada siwaka",,,
"وَلاَ تَجْعَلْ ثَوَابِي ثَوَابَ مَنْ عَبَدَ سِوَاكَ","Certainly, some people outwardly declared the faith so that they could prevent their blood from being shed.","fa'inna qawman amanu bi'alsinatihim liyahqinu bihee dima'ahum",,,
"فَإِنَّ قَوْماً آمَنُوٱ بِالْسِنَتِهِمْ لِيَحْقِنُوٱ بِهِ دِمَاءَهُمْ","However, they attained their goals.","fa'adraku ma ammalu",,,
"فَادْرَكُوٱ مَا امَّلُوٱ","We have believed in You by heart and tongue so that You may excuse us.","wa'inna amanna bika bi'alsinatina wa qulubina lita`fuwa `anna",,,
"وَإِنَّا آمَنَّا بِكَ بِالْسِنَتِنَا وَقُلُوبِنَا لِتَعْفُوَ عَنَّا","Hence, make us attain our goals,","fa'adrikna ma ammalna",,,
"فَادْرِكْنَا مَا امَّلْنَا","make firm our hope for You in our hearts,","wa thabbit raja'aka fee ¥udurina",,,
"وَثَبِّتْ رَجَاءَكَ فِي صُدُورِنَا","make not our hearts to deviate after You have guided us aright,","wa la tuzigh qulubana ba`da idh hadaytana",,,
"وَلاَ تُزِغْ قُلُوبَنَا بَعْدَ إِذْ هَدَيْتَنَا","and grant us from You mercy.","wa hab lana min ladunka rahmatan",,,
"وَهَبْ لَنَا مِنْ لَدُنْكَ رَحْمَةً","Surely, You are the most liberal Giver.","innaka anta alwahhabu",,,
"إِنَّكَ انْتَ ٱلْوَهَّابُ","By Your Majesty I swear, O my Lord, even if You chide me, I shall never leave Your Door","fawa`izzatika law intahartanee ma barihtu min babika",,,
"فَوَعِزَّتِكَ لَوِ ٱنْتَهَرْتَنِي مَا بَرِحْتُ مِنْ بَابِكَ","and I shall never stop flattering You.","wa la kafaftu `an tamalluqika",,,
"وَلاَ كَفَفْتُ عَنْ تَمَلُّقِكَ","This is because I have full acquaintance with Your (indescribable) generosity and bounty.","lima ulhima qalbee min alma`rifati bikaramika wa sa`ati rahmatika",,,
"لِمَا الْهِمَ قَلْبِي مِنَ ٱلْمَعْرِفَةِ بِكَرَمِكَ وَسَعَةِ رَحْمَتِكَ","To whom may a servant go save to his Lord?","ila man yadhhabu al`abdul illa ila mawlahu",,,
"إِلَىٰ مَنْ يَذْهَبُ ٱلْعَبْدُ إِلاَّ إِلَىٰ مَوْلاهُ","To whom may a mortal resort save to his Creator?","wa ila man yaltaji'u almakhluqu illa ila khaliqihee",,,
"وَإِلَىٰ مَنْ يَلْتَجِئُ ٱلْمَخْلُوقُ إِلاَّ إِلَىٰ خَالِقِهِ","O my God, even if You tie me with chains,","ilahee law qarantanee bil-a¥fadi",,,
"إِلٰهِي لَوْ قَرَنْتَنِي بِٱلاصْفَادِ","deprive me of the stream of Your bounties in the presence of people,","wa mana`tanee saybaka min bayni al-ashhadi",,,
"وَمَنَعْتَنِي سَيْبَكَ مِنْ بَيْنِ ٱلاشْهَادِ","divulge all my scandalous acts before the eyes of all Your servants,","wa dalalta `ala faa'ihee `uyuna al`ibadi",,,
"وَدَلَلْتَ عَلَىٰ فَضَائِحِي عُيُونَ ٱلْعِبَادِ","order me to Hell,","wa amarta bee ila alnnari",,,
"وَامَرْتَ بِي إِلَىٰ ٱلنَّارِ","and prevent me from communicating the Pious ones,","wa hulta baynee wa bayna al-abrari",,,
"وَحُلْتَ بَيْنِي وَبَيْنَ ٱلابْرَارِ","(in spite of all that) I will never stop hoping for You,","ma qata`tu raja'ee minka",,,
"مَا قَطَعْتُ رَجَائِي مِنْكَ","I will never stop expecting Your pardon,","wa ma ¥araftu ta'meelee lil`afwi `anka",,,
"وَمَا صَرَفْتُ تَامِيلِي لِلْعَفْوِ عَنْكَ","and Your love will never exit my heart.","wa la kharaja hubbuka min qalbee",,,
"وَلاَ خَرَجَ حُبُّكَ مِنْ قَلْبِي","I never forget Your graces that I enjoy","ana la ansa ayadiyaka `indee",,,
"انَا لاَ انْسَىٰ ايَادِيَكَ عِنْدِي","and Your having concealed my defects in the worldly abode.","wa sitraka `alayya fee dari alddunya",,,
"وَسِتْرَكَ عَلَيَّ فِي دَارِ ٱلدُّنْيَا","O my Master, (please) expel love for the world out of my heart,","sayyidee akhrij hubba alddunya min qalbee",,,
"سَيِّدِي اخْرِجْ حُبَّ ٱلدُّنْيَا مِنْ قَلْبِي","join me with the Divinely-chosen Prophet and his Household,","wa ijma` baynee wa bayna almu¥tafa wa alihee",,,
"وَٱجْمَعْ بَيْنِي وَبَيْنَ ٱلْمُصْطَفَىٰ وَآلِهِ","the choicest of Your creatures and the seal of the Prophets:","khiyaratika min khalqika wa khatami alnnabiyyeena",,,
"خِيَرَتِكَ مِنْ خَلْقِكَ وَخَاتَمِ ٱلنَّبِيِّينَ","Muhammad, blessings of Allah be on him and on his Household.","muhammadin ¥alla allahu `alyhi wa alihee",,,
"مُحَمَّدٍ صَلَّىٰ ٱللَّهُ عَلَيْهِ وَعَلَىٰ آلِهِ","Move me to the rank of repentance with You,","wanqulnee ila darajati alttawbati ilayka",,,
"وَٱنْقُلْنِي إِلَىٰ دَرَجَةِ ٱلتَّوْبَةِ إِلَيْكَ","help me weep for myself after I have come upon the last of my age,","wa a`innee bilbuka'i `ala nafsee faqad afnaytu `umuree",,,
"وَاعِنِّي بِٱلْبُكَاءِ عَلَىٰ نَفْسِي فَقَدْ افْنَيْتُ عُمْرِي","being in the manner of those who despair of any self-decency.","wa qad nazaltu manzilata al-ayiseena min khayree",,,
"وَقَدْ نَزَلْتُ مَنْزِلَةَ ٱلآيِسِينَ مِنْ خَيْرِي","Who is then worse than I am","faman yakunu aswa'a halan minnee",,,
"فَمَنْ يَكُونُ اسْوَا حَالاً مِنِّي","when I, such being my case, will be taken to a grave","in ana nuqiltu `ala mithli halee ila qabrin",,,
"إِنْ انَا نُقِلْتُ عَلَىٰ مِثْلِ حَالِي","that I have neither paved for my long stay","lam umahhid-hu liraqdatee",,,
"إِلَىٰ قَبْرٍ لَمْ امَهِّدْهُ لِرَقْدَتِي","nor furnished with righteous deed for my extended abode.","wa lam afrishhu bil`amali al¥¥alihi liaj`atee",,,
"وَلَمْ افْرُشْهُ بِٱلْعَمَلِ ٱلصَّالِحِ لِضَجْعَتِي","Why should I not weep","wa malee la abkee",,,
"وَمَا لِي لاَ ابْكِي","while I do not know what my destiny will be?","wa la adree ila ma yakunu ma¥eeree",,,
"وَلاَ ادْرِي إِلَىٰ مَا يَكُونُ مَصِيرِي","And while I notice that my self is cheating me,","wa ara nafsee tukhadi`unee",,,
"وَارَىٰ نَفْسِي تُخَادِعُنِي","my days are deceiving me,","wa ayyamee tukhatilunee",,,
"وَايَّامِي تُخَاتِلُنِي","and the wings of death are fluttering over my head.","wa qad khafaqat `inda ra'see ajnihatu almawti",,,
"وَقَدْ خَفَقَتْ عِنْدَ رَاسِي اجْنِحَةُ ٱلْمَوْتِ","So, why should I not weep?","famalee la abkee",,,
"فَمَا لِي لاَ ابْكِي","I weep for my soul’s departing my body.","abkee likhuruji nafsee",,,
"ابْكِي لِخُرُوجِ نَفْسِي","I weep for the darkness of my grave.","abkee li¨ulmati qabree",,,
"ابْكِي لِظُلْمَةِ قَبْرِي","I weep for the narrowness of my vault.","abkee lieeqi lahdee",,,
"ابْكِي لِضِيقِ لَحْدِي","I weep for Munkar and Nakeer (the two angels interrogating in graves) being interrogating me.","abkee lisu'ali munkarin wa nakeerin iyyaya",,,
"ابْكِي لِسُؤَالِ مُنْكَرٍ وَنَكِيرٍ إِيَّايَ","I weep for my coming out of my grave (on the Resurrection Day) naked, humiliated,","abkee likhuruji min qabree `uryanan dhaleelan",,,
"ابْكِي لِخُرُوجِي مِنْ قَبْرِي عُرْيَاناً ذَلِيلاً","carrying my burdens on my back,","hamilan thiqlee `ala ¨ahree",,,
"حَامِلاً ثِقْلِي عَلَىٰ ظَهْرِي","distributing my sights to my right and my left.","an¨uru marratan `an yameenee wa ukhra `an shimalee",,,
" انْظُرُ مَرَّةً عَنْ يَمِينِي وَاخْرَىٰ عَنْ شِمَالِي","Behold! The creatures will each be engaged with matters other than mine.","idh alkhala'iqu fee sha'nin ghayri sha'nee",,,
"إِذِ ٱلْخَلائِقُ فِي شَانٍ غَيْرِ شَانِي","Every man that day will have concern enough to make him heedless of others.","likulli imri'in minhum yawma'idhin sha'nun yughneehi",,,
"”لِكُلِّ ٱمْرِئٍ مِنْهُمْ يَوْمَئِذٍ شَانٌ يُغْنِيهِ“","Many faces on that day shall be bright, laughing, joyous.","wujuhun yawma'idhin musfiratun ahikatun mustabshiratun",,,
"”وُجُوهٌ يَوْمَئِذٍ مُسْفِرَةٌ ضَاحِكَةٌ مُسْتَبْشِرَةٌ","And many faces on that day, on them shall be dust. Darkness, and humiliation shall cover them.","wa wujuhun yawma'idhin `alayha ghabaratun tarhaquha qataratun wa dhillatun",,,
"وَوُجُوهٌ يَوْمَئِذٍ عَلَيْهَا غَبَرَةٌ تَرْهَقُهَا قَتَرَةٌ“ وَذِلَّةٌ","O my Master, on You I depend and rely.","sayyidee `alayka mu`awwalee wa mu`tamadee",,,
"سَيِّدِي عَلَيْكَ مُعَوَّلِي وَمُعْتَمَدِي","In You I put my hope and faith.","wa raja'ee wa tawakkulee",,,
"وَرَجَائِي وَتَوَكُّلِي","To Your mercy I hang.","wa birahmatika ta`alluqee",,,
"وَبِرَحْمَتِكَ تَعَلُّقِي","You direct Your mercy towards whomsoever You like","tu¥eebu birahmatika man tasha'u",,,
"تُصِيبُ بِرَحْمَتِكَ مَنْ تَشَاءُ","and You guide, out of Your honoring, whomsoever You will.","wa tahdee bikaramatika man tuhibbu",,,
"وَتَهْدِي بِكَرَامَتِكَ مَنْ تُحِبُّ","So, all praise be to You for You have purified my heart from polytheism.","falaka alhamdu `ala ma naqqayta min alshshirki qalbee",,,
"فَلَكَ ٱلْحَمْدُ عَلَىٰ مَا نَقَّيْتَ مِنَ ٱلشِّرْكِ قَلْبِي","All praise be to You for You have made my tongue express utterly.","wa laka alhamdu `ala basti lisanee",,,
"وَلَكَ ٱلْحَمْدُ عَلَىٰ بَسْطِ لِسَانِي","How can I praise You properly while my tongue is too short to do so?","afabilisanee hadha alkalli ashkuruka",,,
"افَبِلِسَانِي هٰذَا ٱلْكَالِّ اشْكُرُكَ","How can I please You while the extent of my efforts is too short to do so?","am bighayati juhdee fee `amalee ureeka",,,
"امْ بِغَايَةِ جُهْدِي فِي عَمَلِي ارْضِيكَ","What extent can my tongue reach if compared to the limitless extent of thanking You?","wa ma qadru lisanee ya rabbi fee janbi shukrika",,,
"وَمَا قَدْرُ لِسَانِي يَا رَبِّ فِي جَنْبِ شُكْرِكَ","What amount can my efforts reach if compared to the limitless amount of Your graces and favors?","wa ma qadru `amalee fee janbi ni`amika wa ihsanika",,,
"وَمَا قَدْرُ عَمَلِي فِي جَنْبِ نِعَمِكَ وَإِحْسَانِكَ","O my God! It is certainly Your benevolence that has given me hope.","ilahee inna judaka basata amalee",,,
